,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
50,"[u'Oracle Database 11g Administrator Certified Professional', u'1z0-007', u'Pl/Sql Developer Associate', u'ICDL', u'Microsoft Certified Professional (Mcp)', u'Network Plus (N+)', u'B.Sc']","[u'Ict-Works', u'Medunsa', u'University of Limpopo', u'University of Limpopo, Medunsa Campus', u'University of The North']","[u'Oracle DBA', u'Database Administrator', u'SQL developer']","[u'SNR Network Operator', u'Library Network Assistant']",Oracle DBA,"[u'Oracle DBA', u'Oracle SQL Developer']","[u'Oracle VM Server', u'Databases', u'PL/SQL', u'SQL', u'RMAN', u'Weblogic Server', u'UPK', u'OATS', u'EBS', u'Oracle 11g Database Installation, Upgrade And Administration', u'Rman Backups', u'Oracle Developer', u'Oracle 10g Database Installation,Upgrade And Administration', u'Performance Tuning']",51
51,"[u'Master In Business Administration', u'Bachelor In Information Technology (Software Development)', u'National Diploma In Information Technology', u'Bachelor In Education (Fet) **Only First Year Completed', u'Matric']","[u'Batswana Combined School', u'Bytes Technology Group', u'Department: National Treasury', u'Department of Education', u'Maodi Technologies (Former TCS Hardware & Software)', u'National Treasury', u'Precipice Trading Enterprise', u'Right to Care Health Services', u'Satyam Computer Services', u'State Information Technology Agency (Sita)', u'Tshwane University of Technology']",[u'Application Development Manager'],"[u'Senior IT Specialist Systems Developer', u'Senior IT Specialist Functional Applications Support', u'Lecturer', u'Software Engineer Founder', u'Developer Functional Support', u'Developer Functional Support', u'JNR Software Web Developer Technician', u'Examination Assistant', u'Educator']",IT Applications Manager,"[u'Senior Application Developer', u'Sharepoint Workflow Developer']","[u'SharePoint', u'Nintex', u'Infopath', u'SharePoint Designer SQL', u'Presentation', u'Sdlc,Unit & Functional Testing, Requirements Gathering, Regression Testing, Maintenance', u'Uml, Dhtml,Css,Sdlc, Iis 6 , C++ Builder 6,Vb.Net,Sql,C#,Html,Xml,Sharepoint,Nintex Workflow,Visual Studio 05/08/2010', u'Window Server 2003/08/R2', u'Tomcat 5.5.20,Apache Web Server', u'Itil V3,Sap, Enovia Matrixone,', u'Powershell']",52
52,[u'Senior Certificate'],"[u'Auto Dealer', u'Be-Mobile', u'Cell2cell', u'D6 Technology', u'E-Bit', u'Formfunction', u'Isite', u'Itouch PLC', u'Joefox', u'Media Labs', u'Medicare EMR', u'MIH', u'Myrace', u'New Media Publishing', u'Nobrain', u'Obviously Gone', u'Offline Digital', u'Peronii', u'Piccing', u'Private', u'Responsive', u'South African Government', u'Worddial']","[u'Senior Developer', u'PHP Developer']","[u'Senior Developer', u'Senior Developer', u'Management', u'cell2cell', u'Developer', u'Developer', u'PHP Developer', u'Senior Developer', u'PHP Developer', u'Systems Architect', u'PHP Developer', u'Systems Architect', u'Systems Architect', u'Developer', u'Developer', u'Developer', u'Developer', u'Developer', u'Systems Engineer', u'Global Content Web Developer']",Senior PHP Developer,"[u'Senior PHP Developer', u'Senior PHP Developer']","[u'PHP', u'HTML', u'Javascript', u'CSS', u'MySQL', u'Architecture Frameworks', u'SEO', u'CMS / CRM', u'Linux', u'Sybase', u'WAP', u'Amazon S3', u'Python', u'Perl']",53
53,"[u'Master In Information Technology', u'B.Eng Electronic Engineering']","[u'Advanced Technologies & Engineering', u'Epi-Use', u'XN Corporation Africa']",[],[],Senior C++ Development Engineer,"[u'Software Engineer', u'Junior Software Developer']","[u'C++', u'Sdlc', u'Visual Studio 6', u'Borland Builder 5 And 6', u'Tcp/Ip', u'MFC', u'MS Media Player SDK', u'MS Media Encoder SDK', u'MS Media Services SDK', u'Visual Studio.Net', u'MS Format SDK', u'Serial Communication', u'Openh323', u'Direct X', u'C#', u'UML']",54
54,"[u'B.It', u'Java Programming Certificate', u'Senior Certificate']","[u'AMI Quality Express', u'JD Internet Consulting', u'Monotix Information Systems']",[],[],Application Developer,"[u'Programmer', u'Junior Programmer']","[u'Php Development', u'Database Design', u'Search Engine Optimisation']",55
55,"[u'Baan Development', u'Matric']","[u'Babcock Borsig Power', u'Fourway Africa', u'H & J Wire Industries', u'L & C Steinmeuller Africa', u'L & C Steinmueller Africa', u'Lindsay Saker', u'Perm Building Society', u'Steinmueller Africa']",[],"[u'Systems Developer', u'Manufacturing Resources Supervisor', u'Planning & Costing Planner', u'Programmer', u'Computer Operations Supervisor', u'Computer Operator', u'JNR Computer Operator Shift Leader']",Consultant,"[u'Baan Systems Group Co-Odinator', u'Systems Manager']","[u'Erp Functionality', u'dos', u'MS OFFICE SUITE', u'Development', u'Training', u'Sql Programming', u'Systems Analayst', u'Unix', u'Novell', u'Project Management']",56
56,"[u'Senior Certificate', u'Diploma', u'Senior Certificate']","[u'Activi Ventury Group', u'Icss (Independent Computer Systems Services)', u'Ocean Basket', u'Online Innovations']",[],[u'Web Developer'],Technician,"[u'HP Engineer & Workship Techinician', u'Waiter']","[u'Mcse / A+ / Data Communications', u'Network +', u'Web Designing']",57
57,"[u'ITIL Foundation', u'Information Technology', u'Adabas Natural Programming Fundementals', u'Fundemental Of Project Management', u'Installing And Configuring Windows 7', u'Information Technology']","[u'Business Connecxion', u'Business Connexion', u'Liberty', u'SITA (State Information Technology Agency)', u'Working Technologies']","[u'Cobol Programmer', u'System Analyst', u'Database Administrator']","[u'Junior Software Developer Intern', u'Server Support 1ST Line Intern', u'Junior Java Developer Learnership']",Compass Programmer,"[u'Software Developer Programmer', u'Junior Software Developer']","[u'Xhtml', u'Mainframe', u'EGL', u'PLSQL', u'Natural', u'Oracle', u'plsql', u'Oracle plsql', u'Cobol', u'Natural adabas']",58
58,"[u'ISEB', u'Bachelor Business Science In Finance (Ca)', u'Matriculated With Exemption']","[u'Above Average Tutoring', u'Alexander Forbes', u'Anglo American Platinum', u'Assima (Kaplan Learning Technologies)', u'Cellucity', u'Chinese School', u'Ecentric Payment Systems', u'KPMG', u'Kraftgroupsa', u'Miscellaneous - Please Refer to CV', u'Openbox Software', u'Pres LES', u'Self']",[u'software developer'],"[u'Tefl', u'Started QA Company Quality Cubed', u'Junior Business&Systems Analyst Qaulity Assurance', u'Accounts Assistant', u'Data Analyst', u'Accounts Assistant', u'Academic Tutor', u'Auditing Vacation Work', u'Sales Consultant', u'Barman Waitron Miscellaneous']",Software Developer,"[u'Software Developer', u'Junior Developer']","[u'C# .NET', u'TDD', u'Sql', u'HTML', u'DDD', u'Java', u'Mvp/Mvc', u'Ef 4.1', u'Quality Assurance', u'Systems Analysis', u'requirement specification', u'css', u'kendo', u'MSProject', u'data analysis', u'asp .NET', u'unit test case design', u'jquery', u'javascript', u'entity framework', u'sql performance tuning', u'java', u'cryptography', u'software security angular', u'software security', u'Accountancy', u'Finance', u'Management Accounting', u'Auditing', u'Kick Boxing', u'tax', u'Business Stratagy', u'Sailing']",59
59,[u'Matric'],"[u'DesSoft Design Software', u'Intergraph Systems SA', u'Resonant Automation', u'Thyssenkrupp Engineering - Uhde', u'VCOPP Market Demand Trading']","[u'Control and Instrumentation Engineer', u'Control and Instrumentation Technician', u'Instrument Technician', u'Electrical Engineer Design', u'Design Engineer', u'Software Developer', u'C# Developer', u'.NET Developer', u'Data Capture', u'Database Administrator']","[u'Instrument Engineer', u'SmartPlant Instrumentation Senior Application Engineer']",Software Developer,"[u'EC&I Project Design Engineer', u'Application Engineer and Support and Training Manager']","[u'DesSoft P&ID', u'SmartPlant Instrumentation', u'DesSoft EDES', u'Instrument Design', u'Database Administration', u'Database Development', u'Electrical Control Instrumentation Design', u'Panel Design', u'DesSoft FDES', u'Microsoft Office', u'Engineering Design', u'Electrical Design', u'Mining & Minerals', u'Petrochemical', u'Racking & Routing', u'C#', u'VB', u'VB.NET', u'Procurement', u'Software Development', u'ASP.NET', u'Nuclear Energy', u'Web Design', u'Web Development', u'Oil & Gas']",60
60,"[u'Certificate Of Competancy', u'Certificate Of Competancy', u'Post Grad Dip Gis', u'Uml Modelling', u'Sap Abap/4', u'N.Dip It']","[u'Arivia.Kom', u'Eskom', u'Pretoria Software Solutions']",[u'Enterprise Architect'],[],Senior Enterprise Architect,"[u'Solutions Architect Technical Specialist', u'Senior Developer']","[u'IT Strategy', u'Solution Architect', u'IT Consultant', u'Enterprise Architect', u'ESRI', u'GIS', u'Oracle', u'Smallworld', u'Systems Analysis', u'Business Analyst', u'Business Analysis']",61
61,"[u'Bachelor of Science Information Technology', u'Higher Certificate in Information Systems']","[u'CTI Education Group', u'Internet Solutions']","[u'Junior Java Developer', u'Junior Developer', u'Database Developer', u'Java Web Developer', u'Web Developer']",[],Information System Lecturer,[u'Software Developer Intern'],"[u'Program Design', u'Processing and Logic Concepts', u'Database Design Concepts', u'Teaching', u'Database Management', u'Software Engineering', u'Personal Skills', u'Angular 4+', u'MVC', u'MVC \u2022', u'ASP.NET', u'Entity Framework', u'TypeScript', u'ASP.NET Core', u'Bootstrap 3/4 and Material Design', u'J2ME', u'Java SE', u'ASP.NET WebApi', u'Agile', u'Git', u'LinqToSQL', u'JQuery', u'IIS', u'C#', u'Normalization', u'CSS3', u'HTML5', u'Waterfall Model', u'SDLC', u'MSSQL', u'RESTful Web/Application Server: Tomcat', u'JPA Frameworks: Jboss Seam', u'Operating Systems: Linux and Microsoft Windows.   Programming Languages: Java', u'Glass Fish. Java Technologies: JDBC', u'Perl and php (not certified) Databases: MS SQL Web Technologies: JSF/Richfaces', u'JavaScript', u'J2EE', u'HTML', u'JSP', u'Struts 1.x', u'Computer Literacy', u'Microsoft Power Point', u'Netbeans IDE', u'Microsoft Excel', u'Microsoft Access', u'Adobe Dreamweaver', u'Eclipse IDE', u'Adobe Photoshop', u'Adobe Flash', u'Microsoft Word']",62
62,[u'Computer System Engineering'],[u'Zensar Technologies'],"[u'Java Developer', u'Qlickview Developer', u'Front End Web Developer', u'Developer', u'Junior Java Developer']",[],Java Developer,[],"[u'CSS3 \u2022', u'JSF', u'\u2022', u'Arduino', u'Servlets', u'Java(JSP', u'Json \u2022', u'Javascript(Angular Js) \u2022', u'C++ \u2022', u'HTML5 \u2022', u'JBDC', u'Web Services(Restful)) \u2022', u'PHP \u2022']",63
63,"[u'Software Engineer Degree', u'Computer Science Degree']","[u'Derivco', u'Hevron', u'SIX Financial Services', u'Swatch Group']",[],[u'Software Developer'],Senior Software Developer,"[u'Software Developer and Data Analyst', u'Software Developer']","[u'OData', u'OOP', u'AngularJS', u'MSSQL', u'MVC', u'Web Apis/Services', u'C#', u'.NET', u'Javascript', u'APS .NET', u'Scrum Agile', u'Parallel Programming', u'Html5', u'Css3', u'TDD', u'JQuery', u'Unix', u'Java']",64
64,"[u'It Programming', u'2009']","[u'Braodband', u'Mint Management Technologies']","[u'Junior Developer', u'Junior Programer']",[],Junior Developer,"[u'Intern Developer', u'Learner']","[u'C#', u'VB .NET', u'SQL and Web development.', u'Microsoft Office', u'Project management', u'SQL', u'MVC', u'Business Communications']",65
65,[u'Post-Graduation in Production Engineering'],"[u'Eabh', u'Hotel Grande Real de Santa Eulalia', u'Larsen and Toubro InfoTech', u'Luziana Lanna', u'Oracle']","[u'Language Consultant', u'Brazilian Portuguese']","[u'Software Developer Junior', u'Information Technology Specialist']",Language Instructor,"[u'Customer Support Analyst', u'Information Technology Assistant']","[u'ArcGis', u'Python', u'Brazilian Portuguese', u'Language Consultant', u'Information Technology', u'Computer Software']",66
66,[u'Bachelors degree Computer Engineering'],[u'Ejada'],"[u'ETL Developer', u'BI Specialist', u'Data Warehouse Analyst']",[],Senior ETL Developer,[],"[u'Banking', u'Flexcube', u'Oracle', u'Data warehouse', u'ETL', u'OBIEE', u'Informatica']",67
67,"[u'Cpim', u'B.Econ', u'Secondary Education']","[u'Aegis Insurance Company', u'African-Silver-Safaris', u'Agri Risk Specialists', u'Eskom - Megawatt Park', u'Oxfam GB', u'PC-2000', u'Sentraoes']",[],"[u'PC Software Developer and Mainframe Programmer', u'Personal Assistant', u'Training Manager End User Software', u'Project Manager', u'Purchasing Manager', u'Consultant']",Office Manager,"[u'Project Manager and Administrator', u'Project Manager']","[u'Administration', u'MS Office- Word, Excel, PowerPoint, Access', u'Lotus Smart Suite- 123, Wordpro, Freelance Graphic', u'Computer Typing', u'Windows And Windows Explorer', u'Business Process Development', u'Internet Explorer', u'Lotus Notes', u'User Training And Support', u'Software And System Development', u'Outlook Express', u'Project Management', u'Purchasing In Eskom I', u'Contract Management', u'Rpg Mainframe Programming']",68
68,"[u'MComm', u'Post Graduate Diploma In Project Management', u'Adv Project Management', u'Business Analysis', u'Structured Programming', u'Banking', u'Teaching Diploma', u'Senior Certificate']","[u'ABSA Group IT Solutions', u'Accenture C/O National Treasury', u'North West Government IT Finance', u'South African Revenue Service (SARS)', u'Standard Bank Group IT Solutions', u'Tshepagalang Secondary School']","[u'Project manager', u'Process engineer; Business Analyst']","[u'Analyst Software Developer', u'Analyst Programmer', u'Senior Programmer', u'Junior Programmer', u'Teacher']",Operational Analyst,"[u'Systems Business Analyst', u'SNR Software Developer']","[u'Teaching (Math & Science)', u'software development', u'Microsoft Office', u'Business analysis', u'JCL', u'Tso (Tp Monitor)', u'Software Development', u'Microsoft Excel', u'Presentation + Jad Sessions', u'MS Word', u'MS Powerpoint', u'Business Analysis', u'Project Management', u'Software development', u'Educator', u'Software development in Delphi', u'Function point analysis', u'Software development in C++', u'Software development in Java', u'SAP BRF']",69
69,"[u'MBA', u'Post Grad Diploma Corporate Governance', u'Btd-Bachelor Of Training And Developmentlogy', u'Health Management Diploma', u'Diploma Hr Management And Training', u'IT', u'End User Computing', u'Matric']","[u'Aboutlearning', u'Anglo American Platinum', u'Edcon', u'Imperial Logisitics', u'LGSETA', u'Metro Cash & Carry', u'Nedbank', u'Primeserv Edutel & Intec BUS College', u'Protech Training', u'Stanford Business College', u'Youth for Christ NW']","[u'L & D Manager', u'Training Manager', u'ETQA Manager', u'Training Consultant', u'Trainer']","[u'Learning Designer Developer', u'Freelance Skills Development Facilitator', u'Learning Specialist', u'Learning Specialist', u'Learnership Facilitator Assessor', u'Project Manager', u'Junior Lecturer', u'Youth Programmes Manager', u'Senior Merchandiser']",Acting ETQA Manager,"[u'Training Officer HR Generalist', u'Production Support Consultant']","[u'quality assurance', u'Policy development', u'document design', u'cooaching', u'mentoring', u'Microsoft Office', u'Change Management', u'Computer Skills', u'Design And Develop Learning Materials', u'Leadership', u'Mentoring', u'Microsoft Powerpoint', u'Microsoft Word', u'Customer Support', u'Customer Relations', u'Lay Counseling', u'Design And Conduct Skills Audit', u'Performance Management', u'Project Management', u'Proposal Writing', u'Report Writing', u'Microsoft Excel', u'Research', u'Management Development', u'Strategic Management', u'Microsoft Outlook', u'Budgeting', u'Busineass Consulting', u'Balanced Scorecard', u'Job Analysis', u'Equities', u'Financial Management', u'Strategic Marketing', u'First Aid']",70
